"stockCode","stockCode","empresa","razaoSocial","situacaoRegistro","situacaoEmissor","segmentoListagem","atividade","acao","dataCotacao","tipoAcao","ultimoFechamento","fatorCotacao","volumeFinanceiro","ultimoDemonstrativo","setor","subsetor","segmento","participacaoIndices","precoLucro","precoVpa","precoReceitaLiquida","precoFco","precoFcf","precoAtivoTotal","precoEbit","precoCapitalGiro","precoNcav","evEbit","evEbitda","evReceitaLiquida","evFco","evFcf","evAtivoTotal","marketCapEmpresa","enterpriseValue","dataDemonstracaoFinanceiraAtual","precoAtualAcao","dataPrecoAcao","dividendYield","receitaLiquida","resultadoBruto","ebit","depreciacaoAmortizacao","ebitda","lucroLiquido","lucroAcao","receitaLiquida","resultadoBruto","ebit","depreciacaoAmortizacao","ebitda","lucroLiquido","lucroAcao","menorPreco52Semanas","maiorPreco52Semanas","variacao2024","variacao1Ano","variacao2AnosTotal","variacao2AnosAnual","variacao3AnosTotal","variacao3AnosAnual","variacao4AnosTotal","variacao4AnosAnual","variacao5AnosTotal","variacao5AnosAnual","volumeDiarioMedio3Meses","retornoCapitalTangivelInicial","retornoCapitalInvestidoInicial","retornoCapitalTangivelInicialPreImpostos","retornoCapitalInvestidoInicialPreImpostos","retornoPatrimonioLiquidoInicial","retornoAtivoInicial","margemBruta","margemLiquida","margemEbit","margemEbitda","giroAtivoInicial","alavancagemFinanceira","passivoPatrimonioLiquido","dividaLiquidaEbitda","caixaEquivalentes","ativoTotal","dividaCurtoPrazo","dividaLongoPrazo","dividaBruta","dividaLiquida","patrimonioLiquido","valorPatrimonialAcao","acoesOrdinarias","acoesPreferenciais","totalAcoes","acoesOrdinariasTesouraria","acoesPreferenciaisTesouraria","totalAcoesTesouraria","acoesOrdinariasExTesouraria","acoesPreferenciaisExTesouraria","totalAcoesExTesouraria","fluxoCaixaOperacional","fluxoCaixaInvestimentos","fluxoCaixaFinanciamentos","aumentoReducaoCaixa","fluxoCaixaOperacional","fluxoCaixaInvestimentos","fluxoCaixaFinanciamentos","aumentoReducaoCaixa"
"ECOR3","ECOR3","ECORODOVIAS","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Exploração direta ou indireta de negócios de concessão de obras e serviços públicos e organização logísitica do transporte de carga.","ECOR3","31/05/2024","ON","R$ 6,89","1 ação","R$ 22,60 M","ITR - 31/03/2024","Bens Industriais","Transporte","Exploração de Rodovias","IBRA, IBRX, ICO2, IGC, IGCT, IGNM, ISE, ITAG, SMLL","6,97","1,62","0,51","1,31","1,39","0,17","1,58","-17,07","-0,19","6,62","5,19","2,14","5,45","5,81","0,73","R$ 4,80 B","R$ 20,03 B","31/03/2024","R$ 6,89","31/05/2024","4,04%","R$ 9,37 B","R$ 3,54 B","R$ 3,03 B","- R$ 831,58 M","R$ 3,86 B","R$ 688,19 M","R$ 0,99","R$ 2,13 B","R$ 932,63 M","R$ 846,05 M","- R$ 216,83 M","R$ 1,06 B","R$ 231,37 M","R$ 0,33","R$ 5,97","R$ 9,51","-25,11%","2,88%","0,20%","0,10%","-44,85%","-18,01%","-45,02%","-13,90%","-24,27%","-5,40%","R$ 32,76 M","78,79%","15,05%","119,38%","22,81%","28,48%","3,57%","37,76%","7,35%","32,31%","41,19%","0,49","9,27","8,27","3,95","R$ 4,37 B","R$ 27,52 B","R$ 5,07 B","R$ 14,53 B","R$ 19,60 B","R$ 15,23 B","R$ 2,97 B","R$ 4,26","696.334.000","0","696.334.000","713.000","0","713.000","695.621.000","0","695.621.000","R$ 3,68 B","- R$ 5,77 B","R$ 4,72 B","R$ 2,62 B","R$ 740,49 M","- R$ 696,83 M","R$ 802,88 M","R$ 846,54 M"
"STBP3","STBP3","SANTOS BRP","SANTOS BRASIL PARTICIPACOES S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","A Companhia tem por objeto a exploração portuária através de operações com contêineres. carga geral. veículos. granéis ou afins. operações de logística integrada e a participação em outras sociedades.","STBP3","31/05/2024","ON","R$ 11,51","1 ação","R$ 68,99 M","ITR - 31/03/2024","Bens Industriais","Transporte","Serviços de Apoio e Armazenagem","GPTW, IBRA, IBRX, ICO2, IDIV, IGC, IGCT, IGNM, ISE, ITAG, SMLL","16,41","4,48","4,23","11,07","40,28","2,03","10,57","-141,45","-3,63","10,67","8,59","4,27","11,17","40,65","2,05","R$ 9,95 B","R$ 10,04 B","31/03/2024","R$ 11,51","31/05/2024","5,77%","R$ 2,35 B","R$ 1,27 B","R$ 941,23 M","- R$ 226,82 M","R$ 1,17 B","R$ 606,22 M","R$ 0,70","R$ 645,19 M","R$ 358,97 M","R$ 256,44 M","- R$ 64,83 M","R$ 321,27 M","R$ 147,77 M","R$ 0,17","R$ 6,99","R$ 13,90","27,67%","20,58%","83,94%","35,68%","57,45%","16,35%","187,95%","30,29%","237,19%","27,48%","R$ 68,01 M","20,03%","32,82%","30,34%","49,73%","28,31%","14,01%","54,02%","25,76%","40,00%","49,64%","0,54","2,20","1,20","0,08","R$ 444,35 M","R$ 4,89 B","R$ 110,98 M","R$ 425,16 M","R$ 536,14 M","R$ 91,79 M","R$ 2,22 B","R$ 2,57","864.170.000","0","864.170.000","755.000","0","755.000","863.415.000","0","863.415.000","R$ 898,30 M","- R$ 635,07 M","- R$ 359,40 M","- R$ 96,17 M","R$ 200,57 M","- R$ 110,59 M","- R$ 13,11 M","R$ 76,87 M"
"GUAR3","GUAR3","GUARARAPES","GUARARAPES CONFECCOES S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Confecções de roupas e tecidos em geral.","GUAR3","31/05/2024","ON","R$ 7,56","1 ação","R$ 8,39 M","ITR - 31/03/2024","Consumo Cíclico","Comércio","Tecidos. Vestuário e Calçados","GPTW, IBRA, ICON, IGC, IGCT, IGNM, ISE, ITAG, SMLL","154,59","0,74","0,42","2,50","2,57","0,28","6,99","1,09","-0,75","10,15","4,66","0,61","3,63","3,73","0,40","R$ 3,77 B","R$ 5,48 B","31/03/2024","R$ 7,56","31/05/2024","1,59%","R$ 8,96 B","R$ 5,24 B","R$ 539,64 M","- R$ 637,06 M","R$ 1,18 B","R$ 24,41 M","R$ 0,05","R$ 1,99 B","R$ 1,17 B","R$ 43,33 M","- R$ 168,44 M","R$ 211,77 M","- R$ 116,99 M","- R$ 0,23","R$ 4,33","R$ 8,62","29,62%","42,08%","-14,43%","-7,50%","-61,04%","-26,99%","-42,97%","-13,11%","-45,14%","-11,30%","R$ 20,20 M","4,40%","4,40%","6,67%","6,66%","0,48%","0,17%","58,42%","0,27%","6,02%","13,13%","0,61","2,67","1,67","1,45","R$ 1,45 B","R$ 13,63 B","R$ 793,25 M","R$ 2,36 B","R$ 3,15 B","R$ 1,70 B","R$ 5,11 B","R$ 10,23","499.200.000","0","499.200.000","2.560","0","2.560","499.197.440","0","499.197.440","R$ 1,51 B","R$ 328,50 M","- R$ 1,62 B","R$ 213,47 M","R$ 378,69 M","R$ 317,80 M","- R$ 532,46 M","R$ 164,03 M"
"ELET6","ELET6","ELETROBRAS","CENTRAIS ELET BRAS S.A. - ELETROBRAS","ATIVO","FASE OPERACIONAL","Nível 1 de Governança Corporativa","Empresa Holding de Geração. Transmissão de Energia","ELET6","31/05/2024","PNB","R$ 39,13","1 ação","R$ 218,20 M","ITR - 31/03/2024","Utilidade Pública","Energia Elétrica","Energia Elétrica","IBOVESPA, IBRA, IBRX, ICO2, IGC, IGCT, MLCX, UTIL","20,57","0,80","2,46","10,64","19,43","0,34","6,75","5,49","-0,67","9,75","7,63","3,55","15,36","28,04","0,49","R$ 81,48 B","R$ 130,27 B","31/03/2024","R$ 39,13","31/05/2024","10,87%","R$ 36,67 B","R$ 17,51 B","R$ 13,37 B","- R$ 3,71 B","R$ 17,08 B","R$ 4,39 B","R$ 1,90","R$ 8,72 B","R$ 4,22 B","R$ 3,62 B","- R$ 996,71 M","R$ 4,62 B","R$ 328,05 M","R$ 0,14","R$ 35,79","R$ 47,06","-11,66%","0,33%","-0,25%","-0,12%","-1,12%","-0,37%","60,15%","12,50%","40,26%","6,99%","R$ 65,00 M","5,61%","5,70%","8,51%","8,63%","3,96%","1,64%","47,75%","11,97%","36,45%","46,59%","0,14","2,35","1,35","2,86","R$ 12,16 B","R$ 264,38 B","R$ 14,51 B","R$ 46,44 B","R$ 60,96 B","R$ 48,79 B","R$ 112,58 B","R$ 48,80","2.027.011.000","280.088.000","2.307.099.000","49.810.000","6.842.000","56.652.000","1.977.201.000","273.246.000","2.250.447.000","R$ 8,48 B","- R$ 3,56 B","- R$ 5,05 B","- R$ 125,65 M","R$ 1,29 B","- R$ 1,35 B","- R$ 1,49 B","- R$ 1,55 B"
"VIVA3","VIVA3","VIVARA S.A.","VIVARA PARTICIPAÇOES S.A","ATIVO","FASE OPERACIONAL","Novo Mercado","Participação em outras sociedades. na qualidade de quotistas. ou acionistas; holding de instituições não-financeiras; e agente de propriedade intelectual.","VIVA3","31/05/2024","ON","R$ 21,80","1 ação","R$ 64,91 M","ITR - 31/03/2024","Consumo Cíclico","Tecidos. Vestuário e Calçados","Acessórios","IBOVESPA, IBRA, IBRX, ICON, IGC, IGCT, IGNM, INDX, ITAG, SMLL","14,05","2,61","2,30","15,02","25,49","1,60","11,60","3,89","60,35","11,50","8,73","2,28","14,89","25,27","1,59","R$ 5,15 B","R$ 5,11 B","31/03/2024","R$ 21,80","31/05/2024","1,71%","R$ 2,24 B","R$ 1,55 B","R$ 443,76 M","- R$ 140,98 M","R$ 584,74 M","R$ 366,48 M","R$ 1,55","R$ 444,59 M","R$ 302,99 M","R$ 41,35 M","- R$ 38,78 M","R$ 80,13 M","R$ 35,81 M","R$ 0,15","R$ 21,57","R$ 35,03","-34,86%","-16,51%","-7,70%","-3,93%","-28,34%","-10,52%","14,57%","3,46%","-","-","R$ 120,88 M","13,49%","16,34%","20,45%","24,76%","21,66%","12,72%","69,04%","16,36%","19,81%","26,11%","0,78","1,63","0,63","-0,08","R$ 270,20 M","R$ 3,21 B","R$ 126,09 M","R$ 100,00 M","R$ 226,09 M","- R$ 44,11 M","R$ 1,97 B","R$ 8,34","236.197.769","0","236.197.769","984.090","0","984.090","235.213.679","0","235.213.679","R$ 342,74 M","- R$ 40,81 M","- R$ 153,19 M","R$ 148,74 M","R$ 167,95 M","- R$ 45,71 M","- R$ 73,53 M","R$ 48,71 M"
"DIRR3","DIRR3","DIRECIONAL","DIRECIONAL ENGENHARIA S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Incorporação. construção e comercialização de imóveis próprios ou de terceiros e prestação de serviços de engenharia.","DIRR3","31/05/2024","ON","R$ 24,69","1 ação","R$ 56,90 M","ITR - 31/03/2024","Consumo Cíclico","Construção Civil","Incorporações","IBRA, IBRX, ICON, IDIV, IGC, IGCT, IGNM, IMOB, INDX, ITAG, SMLL","10,12","2,04","1,74","-11,14","-11,02","0,54","8,96","1,81","-1,26","10,96","9,68","2,12","-13,63","-13,48","0,67","R$ 4,28 B","R$ 5,24 B","31/03/2024","R$ 24,69","31/05/2024","1,90%","R$ 2,47 B","R$ 847,73 M","R$ 478,05 M","- R$ 63,16 M","R$ 541,20 M","R$ 423,09 M","R$ 2,44","R$ 669,44 M","R$ 240,60 M","R$ 158,21 M","- R$ 16,15 M","R$ 174,36 M","R$ 150,28 M","R$ 0,87","R$ 16,31","R$ 26,14","12,89%","35,95%","152,07%","58,87%","95,23%","25,01%","187,35%","30,22%","221,98%","26,32%","R$ 41,67 M","5,95%","14,63%","9,01%","22,16%","31,33%","6,53%","34,36%","17,15%","19,37%","21,93%","0,38","3,74","2,74","1,77","R$ 445,83 M","R$ 7,88 B","R$ 263,56 M","R$ 1,14 B","R$ 1,40 B","R$ 956,55 M","R$ 2,11 B","R$ 12,13","173.500.000","0","173.500.000","239.545","0","239.545","173.260.455","0","173.260.455","- R$ 384,40 M","R$ 119,64 M","R$ 104,64 M","- R$ 160,12 M","- R$ 206,01 M","R$ 163,29 M","- R$ 145,43 M","- R$ 188,15 M"
"IRBR3","IRBR3","IRBBRASIL RE","IRB - BRASIL RESSEGUROS S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Operações de resseguro e retrocessão","IRBR3","31/05/2024","ON","R$ 31,56","1 ação","R$ 51,25 M","ITR - 31/03/2024","Financeiro","Previdência e Seguros","Resseguradoras","IBOVESPA, IBRA, IBRX, IFNC, IGC, IGCT, IGNM, ITAG, SMLL","18,88","0,58","0,46","5,40","","0,17","","","","","","","","","","R$ 2,60 B","","31/03/2024","R$ 31,56","31/05/2024","0,00%","R$ 5,59 B","","- R$ 52,11 M","","","R$ 137,54 M","","R$ 1,43 B","","R$ 244,63 M","","","R$ 236,82 M","","R$ 31,56","R$ 54,06","-24,71%","-18,97%","-63,72%","-39,81%","-82,61%","-44,21%","-87,56%","-40,63%","-96,83%","-49,82%","R$ 67,50 M","","","","","3,09%","0,89%","-0,02%","2,46%","","","0,35","3,45","2,36","","","R$ 14,97 B","","","","","R$ 4,46 B","R$ 54,18","82.263.011","1","82.263.012","420.125","0","420.125","81.842.886","1","81.842.887","R$ 480,83 M","- R$ 86,20 M","- R$ 374,63 M","R$ 7,09 M","R$ 31,81 M","- R$ 20,97 M","- R$ 868,00 mil","R$ 8,06 M"
"ARZZ3","ARZZ3","AREZZO CO","AREZZO INDÚSTRIA E COMÉRCIO S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","O principal ramo de atividade da Companhia é a industrialização e a comercialização de artigos de couro e de plástico em geral. incluindo sapatos. bolsas e acessórios.","ARZZ3","31/05/2024","ON","R$ 49,40","1 ação","R$ 59,58 M","ITR - 31/03/2024","Consumo Cíclico","Comércio","Tecidos. Vestuário e Calçados","IBOVESPA, IBRA, IBRX, IBRX50, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, IVBX, SMLL","13,39","1,86","1,12","12,65","26,39","0,96","9,77","6,81","-2,77","11,63","8,22","1,33","15,06","31,42","1,14","R$ 5,48 B","R$ 6,53 B","31/03/2024","R$ 49,40","31/05/2024","3,91%","R$ 4,89 B","R$ 2,66 B","R$ 561,13 M","- R$ 232,90 M","R$ 794,03 M","R$ 409,36 M","R$ 3,69","R$ 1,07 B","R$ 566,86 M","R$ 107,17 M","- R$ 59,36 M","R$ 166,52 M","R$ 73,10 M","R$ 0,66","R$ 46,83","R$ 83,45","-20,67%","-32,76%","-36,86%","-20,56%","-39,65%","-15,51%","13,16%","3,14%","6,40%","1,25%","R$ 119,71 M","13,46%","10,03%","20,39%","15,19%","15,07%","7,98%","54,34%","8,37%","11,47%","16,23%","0,95","1,95","0,95","1,32","R$ 53,04 M","R$ 5,72 B","R$ 747,45 M","R$ 351,30 M","R$ 1,10 B","R$ 1,05 B","R$ 2,94 B","R$ 26,49","110.989.206","0","110.989.206","0","0","0","110.989.206","0","110.989.206","R$ 433,50 M","- R$ 92,37 M","- R$ 372,23 M","- R$ 30,57 M","- R$ 55,74 M","R$ 97,12 M","- R$ 61,04 M","- R$ 20,28 M"
"ENJU3","ENJU3","ENJOEI","ENJOEI S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Plataforma digital de compra e venda de para produtos usados. por meio da criação de lojas virtuais pelos próprios usuários","ENJU3","31/05/2024","ON","R$ 2,68","1 ação","R$ 2,59 M","ITR - 31/03/2024","Tecnologia da Informação","Programas e Serviços","Programas e Serviços","IGC, IGNM, ITAG","-10,10","1,64","2,47","-116,48","-63,90","1,22","-7,37","2,87","7,09","-4,25","-6,86","1,42","-67,26","-36,89","0,71","R$ 543,05 M","R$ 313,57 M","31/03/2024","R$ 2,68","31/05/2024","0,00%","R$ 220,21 M","R$ 114,31 M","- R$ 73,72 M","- R$ 27,99 M","- R$ 45,73 M","- R$ 53,77 M","- R$ 0,27","R$ 61,52 M","R$ 33,41 M","- R$ 13,90 M","- R$ 8,33 M","- R$ 5,57 M","- R$ 9,82 M","- R$ 0,05","R$ 1,23","R$ 2,75","65,43%","114,40%","37,44%","17,26%","-74,79%","-36,85%","-","-","-","-","R$ 2,50 M","-423,71%","-65,19%","-641,98%","-98,77%","-14,30%","-12,72%","51,91%","-24,42%","-33,48%","-20,77%","0,52","1,34","0,34","5,02","R$ 229,48 M","R$ 444,41 M","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 229,48 M","R$ 331,85 M","R$ 1,64","202.630.000","0","202.630.000","0","0","0","202.630.000","0","202.630.000","- R$ 4,66 M","- R$ 66,18 M","- R$ 917,00 mil","- R$ 71,76 M","R$ 7,30 M","- R$ 38,95 M","- R$ 562,00 mil","- R$ 32,21 M"
"DASA3","DASA3","DASA","DIAGNOSTICOS DA AMERICA S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Medicina Diagnóstica. Hospitais e Oncologia.","DASA3","31/05/2024","ON","R$ 3,42","1 ação","R$ 13,24 M","ITR - 31/03/2024","Saúde","Serv.Méd.Hospit..Análises e Diagnósticos","Serv.Méd.Hospit..Análises e Diagnósticos","GPTW, IBRA, ICON, IGC, IGCT, IGNM, ISE, ITAG, SMLL","-2,24","0,36","0,18","-5,29","-2,78","0,10","2,83","1,13","-0,15","13,48","5,50","0,85","-25,22","-13,26","0,46","R$ 2,57 B","R$ 12,27 B","31/03/2024","R$ 3,42","31/05/2024","0,00%","R$ 14,45 B","R$ 3,90 B","R$ 910,54 M","- R$ 1,32 B","R$ 2,23 B","- R$ 1,15 B","- R$ 1,52","R$ 3,73 B","R$ 1,07 B","R$ 303,25 M","- R$ 335,46 M","R$ 638,71 M","- R$ 175,96 M","- R$ 0,23","R$ 3,32","R$ 14,10","-62,70%","-68,10%","-82,87%","-58,66%","-94,43%","-61,84%","-94,47%","-51,50%","-87,86%","-34,35%","R$ 2,74 M","6,20%","3,49%","9,39%","5,28%","-16,90%","-4,36%","27,01%","-7,94%","6,30%","15,45%","0,55","3,75","2,75","4,34","R$ 2,01 B","R$ 26,94 B","R$ 1,60 B","R$ 10,12 B","R$ 11,71 B","R$ 9,70 B","R$ 7,18 B","R$ 9,54","752.799.844","0","752.799.844","5.609.222","0","5.609.222","747.190.622","0","747.190.622","- R$ 486,71 M","R$ 1,84 M","R$ 1,29 B","R$ 804,01 M","- R$ 157,49 M","- R$ 98,96 M","R$ 685,43 M","R$ 428,99 M"
"PSSA3","PSSA3","PORTO SEGURO","PORTO SEGURO S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Gestão de Participações Societárias (holding)","PSSA3","31/05/2024","ON","R$ 30,35","1 ação","R$ 80,65 M","ITR - 31/03/2024","Financeiro","Previdência e Seguros","Seguradoras","IBRA, IBRX, ICO2, IFNC, IGC, IGCT, IGNM, ISE, ITAG, MLCX","7,62","1,57","0,59","9,82","7,22","0,44","6,24","5,63","-0,68","5,71","5,07","0,54","8,99","6,61","0,40","R$ 19,62 B","R$ 17,96 B","31/03/2024","R$ 30,35","31/05/2024","5,94%","R$ 33,45 B","R$ 33,45 B","R$ 3,14 B","- R$ 397,64 M","R$ 3,54 B","R$ 2,57 B","R$ 3,98","R$ 8,67 B","R$ 8,67 B","R$ 758,62 M","- R$ 100,10 M","R$ 858,73 M","R$ 651,02 M","R$ 1,01","R$ 22,44","R$ 31,50","7,62%","35,24%","61,52%","27,13%","32,48%","9,84%","54,94%","11,58%","46,66%","7,95%","R$ 55,84 M","13,20%","20,74%","20,00%","31,42%","23,81%","6,35%","100,00%","7,70%","9,40%","10,58%","0,82","3,57","2,57","-0,47","R$ 1,66 B","R$ 44,64 B","R$ 0,00","R$ 0,00","R$ 0,00","- R$ 1,66 B","R$ 12,51 B","R$ 19,34","646.586.000","0","646.586.000","4.824.000","0","4.824.000","641.762.000","0","641.762.000","R$ 2,00 B","R$ 160,71 M","- R$ 1,31 B","R$ 850,58 M","R$ 690,95 M","R$ 121,16 M","- R$ 256,29 M","R$ 555,81 M"
"SLCE3","SLCE3","SLC AGRICOLA","SLC AGRICOLA S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Produção e comercialização de algodão. soja. milho. sementes. engorda de bovinos entre outros.","SLCE3","31/05/2024","ON","R$ 17,82","1 ação","R$ 48,21 M","ITR - 31/03/2024","Consumo não Cíclico","Agropecuária","Agricultura","AGFS, GPTW, IBOVESPA, IBRA, IBRX, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, SMLL","13,63","1,60","0,98","4,32","5,46","0,51","5,41","2,66","-1,05","7,54","6,51","1,36","6,02","7,61","0,71","R$ 7,90 B","R$ 11,01 B","31/03/2024","R$ 17,82","31/05/2024","4,96%","R$ 8,10 B","R$ 2,10 B","R$ 1,46 B","- R$ 231,67 M","R$ 1,69 B","R$ 579,69 M","R$ 1,31","R$ 1,99 B","R$ 646,22 M","R$ 498,52 M","- R$ 60,26 M","R$ 558,78 M","R$ 222,99 M","R$ 0,50","R$ 16,70","R$ 21,41","1,53%","5,77%","-23,57%","-12,59%","-1,67%","-0,56%","108,91%","20,24%","176,74%","22,55%","R$ 47,25 M","8,02%","12,17%","12,16%","18,44%","11,11%","3,63%","25,92%","7,16%","18,03%","20,89%","0,51","3,12","2,12","1,84","R$ 1,86 B","R$ 15,42 B","R$ 2,16 B","R$ 2,81 B","R$ 4,97 B","R$ 3,11 B","R$ 4,94 B","R$ 11,15","443.329.716","0","443.329.716","3.489.190","0","3.489.190","439.840.526","0","439.840.526","R$ 1,83 B","- R$ 544,91 M","- R$ 682,79 M","R$ 601,96 M","- R$ 17,71 M","- R$ 109,29 M","R$ 376,78 M","R$ 249,78 M"
"RAPT4","RAPT4","RANDON PART","RANDON S.A. IMPLEMENTOS E PARTICIPACOES","ATIVO","FASE OPERACIONAL","Nível 1 de Governança Corporativa","Indústria e comércio de veíc. automotores e rebocados para a movimentação e o de transporte de materiais; de implem para o transp rodoviário e ferroviário e de aparelhos mecânicos. peças","RAPT4","31/05/2024","PN","R$ 9,52","1 ação","R$ 24,01 M","ITR - 31/03/2024","Bens Industriais","Material de Transporte","Material Rodoviário","AGFS, IBRA, IGC, IGCT, INDX, ITAG, SMLL","9,18","1,09","0,29","1,42","1,67","0,23","2,67","0,83","-0,45","5,26","4,19","0,57","2,80","3,30","0,46","R$ 2,98 B","R$ 6,18 B","31/03/2024","R$ 9,52","31/05/2024","6,11%","R$ 10,77 B","R$ 2,75 B","R$ 1,18 B","- R$ 299,90 M","R$ 1,47 B","R$ 341,41 M","R$ 1,04","R$ 2,54 B","R$ 686,27 M","R$ 267,22 M","- R$ 79,66 M","R$ 346,88 M","R$ 81,83 M","R$ 0,25","R$ 9,52","R$ 13,45","-24,50%","-9,56%","2,72%","1,35%","-25,51%","-9,36%","20,29%","4,73%","40,89%","7,09%","R$ 24,44 M","10,29%","11,66%","15,59%","17,66%","11,99%","2,72%","25,51%","3,17%","10,91%","13,70%","0,86","4,71","3,71","2,17","R$ 2,82 B","R$ 13,55 B","R$ 1,52 B","R$ 4,49 B","R$ 6,02 B","R$ 3,20 B","R$ 2,88 B","R$ 8,73","116.516.000","212.815.000","329.331.000","0","1.037.000","1.037.000","116.516.000","211.778.000","328.294.000","R$ 2,21 B","- R$ 473,48 M","- R$ 528,95 M","R$ 1,20 B","- R$ 317,13 M","- R$ 92,08 M","R$ 363,05 M","- R$ 46,16 M"
"GMAT3","GMAT3","GRUPO MATEUS","GRUPO MATEUS S.A.","ATIVO","FASE OPERACIONAL","Novo Mercado","Holdings de instituições não financeiras. participação no capital de outras sociedades. na condição de acionista. sócia ou quotista. em caráter permanente ou temporário. como controladora ou coligada.","GMAT3","31/05/2024","ON","R$ 7,78","1 ação","R$ 60,21 M","ITR - 31/03/2024","Consumo não Cíclico","Comércio e Distribuição","Alimentos","AGFS, IBRA, IBRX, ICON, IGC, IGCT, IGNM, ITAG, MLCX","14,07","1,95","0,61","13,74","166,81","1,04","9,68","2,94","-9,27","11,16","9,28","0,70","15,83","192,19","1,20","R$ 17,19 B","R$ 19,80 B","31/03/2024","R$ 7,78","31/05/2024","0,56%","R$ 28,29 B","R$ 6,22 B","R$ 1,78 B","- R$ 359,96 M","R$ 2,14 B","R$ 1,22 B","R$ 0,55","R$ 7,38 B","R$ 1,65 B","R$ 405,45 M","- R$ 104,57 M","R$ 510,02 M","R$ 237,81 M","R$ 0,11","R$ 5,76","R$ 8,71","13,48%","6,24%","71,84%","31,14%","-3,35%","-1,13%","-","-","-","-","R$ 34,17 M","12,48%","12,67%","18,91%","19,20%","15,89%","8,90%","22,00%","4,32%","6,27%","7,55%","2,06","1,87","0,87","1,23","R$ 1,34 B","R$ 16,52 B","R$ 620,13 M","R$ 3,34 B","R$ 3,96 B","R$ 2,62 B","R$ 8,81 B","R$ 3,99","2.209.346.079","0","2.209.346.079","171.437","0","171.437","2.209.174.642","0","2.209.174.642","R$ 1,25 B","- R$ 1,20 B","- R$ 379,71 M","- R$ 330,43 M","R$ 475,73 M","- R$ 341,25 M","- R$ 82,58 M","R$ 51,89 M"
"ALPA4","ALPA4","ALPARGATAS","ALPARGATAS S.A.","ATIVO","FASE OPERACIONAL","Nível 1 de Governança Corporativa","Indústria e comércio de calçados e artigos esportivos","ALPA4","31/05/2024","PN","R$ 9,67","1 ação","R$ 28,15 M","ITR - 31/03/2024","Consumo Cíclico","Tecidos. Vestuário e Calçados","Calçados","IBOVESPA, IBRA, IBRX, ICON, IGC, IGCT, INDX, SMLL","-4,02","1,75","1,76","8,32","11,77","1,02","-3,96","2,89","-16,04","-4,11","-4,75","1,82","8,63","12,21","1,06","R$ 6,55 B","R$ 6,85 B","31/03/2024","R$ 9,67","31/05/2024","0,00%","R$ 3,76 B","R$ 1,53 B","- R$ 1,67 B","- R$ 224,28 M","- R$ 1,44 B","- R$ 1,64 B","- R$ 2,40","R$ 931,80 M","R$ 425,38 M","R$ 32,82 M","- R$ 58,95 M","R$ 91,77 M","R$ 24,81 M","R$ 0,04","R$ 7,21","R$ 11,30","3,87%","-9,20%","-54,83%","-32,83%","-79,49%","-41,05%","-62,71%","-21,87%","-46,66%","-11,80%","R$ 34,45 M","-18,08%","-17,17%","-27,39%","-26,02%","-29,80%","-20,21%","40,73%","-43,64%","-44,32%","-38,36%","0,46","1,71","0,71","-0,21","R$ 1,27 B","R$ 6,48 B","R$ 221,89 M","R$ 1,35 B","R$ 1,57 B","R$ 303,77 M","R$ 3,78 B","R$ 5,54","339.510.689","343.551.533","683.062.222","32","7.227.902","7.227.934","339.510.657","336.323.631","675.834.288","R$ 794,28 M","- R$ 184,09 M","R$ 176,83 M","R$ 788,07 M","R$ 315,42 M","- R$ 13,03 M","R$ 42,32 M","R$ 346,40 M"
